Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg
"Jadeja, R A",India,5,10,4,5,1,0,107*,516,55.07,86
Shubman Gill,India,5,10,0,0,4,0,269,754,65.57,75.4
"Pant, R R",India,4,7,0,3,2,0,134,479,77.63,68.43
"Root, J E",England,5,9,1,1,3,0,150,537,56.89,67.13
"Smith, J L",England,5,9,2,2,1,0,184*,434,79.78,62
"Brook, H C",England,5,9,0,2,2,1,158,481,81.39,53.44
"Rahul, K L",India,5,10,0,2,2,0,137,532,49.91,53.2
"Duckett, B M",England,5,9,0,3,1,1,149,462,82.94,51.33
Washington Sundar,India,4,8,2,1,1,1,101*,284,48.38,47.33
"Stokes, B A",England,4,7,0,0,1,1,141,304,52.32,43.43
"Jaiswal, Y B K",India,5,10,0,2,2,2,118,411,68.73,41.1
"Pope, O J D",England,5,9,0,1,1,1,106,306,58.51,34
"Crawley, Z",England,5,9,0,3,0,1,84,290,62.1,32.22
"Carse, B A",England,4,6,0,1,0,1,56,164,75.93,27.33
"Jurel, D C",India,1,2,0,0,0,0,34,53,61.63,26.5
"Dawson, L A",England,1,1,0,0,0,0,26,26,40,26
"Nair, K K",India,4,8,0,1,0,1,57,205,52.56,25.63
"Sai Sudharsan, B S",India,3,6,0,1,0,2,61,140,41.06,23.33
"Akash Deep, A",India,3,5,1,1,0,0,66,80,59.26,20
"Thakur, S N",India,2,3,0,0,0,0,41,46,42.59,15.33
"Atkinson, A A P",England,1,2,0,0,0,0,17,28,62.22,14
"Reddy, N K",India,2,4,0,0,0,0,30,45,29.61,11.25
"Archer, J C",England,2,3,2,0,0,0,5*,11,28.21,11
"Woakes, C R",England,5,7,1,0,0,1,38,64,41.29,10.67
Shoaib Bashir,England,3,5,3,0,0,1,12*,16,43.24,8
"Bethell, J G",England,1,2,0,0,0,0,6,11,24.44,5.5
"Overton, J",England,1,2,0,0,0,1,9,9,42.86,4.5
Mohammed Siraj,India,5,8,3,0,0,3,8,20,25.97,4
"Tongue, J C",England,3,5,1,0,0,2,11,13,19.12,3.25
"Prasidh Krishna, M",India,3,5,2,0,0,2,5*,6,15.79,2
"Bumrah, J J",India,3,5,0,0,0,3,5,9,11.84,1.8
"Anshul Kamboj, A",India,1,1,0,0,0,1,0,0,0,0
